Compound,hrs,yeast,rel_abundance
192.0271,71.0124462123421,cal,25.426882
192.0271,71.0124462123421,cal,25.726927
192.0271,71.0124462123421,cal,25.68552
192.0271,118.603271921967,sak,25.442616
192.0271,118.603271921967,sak,25.676903
192.0271,118.603271921967,sak,25.663301
192.0271,46.85074227026,pil,25.770367
192.0271,46.85074227026,pil,25.881605
192.0271,46.85074227026,pil,25.863937
192.0271,238.856445833423,cal,25.521608
192.0271,238.856445833423,cal,25.768515
192.0271,238.856445833423,cal,25.752932
192.0271,699.41261145825,pil,25.434109
192.0271,699.41261145825,pil,25.814518
192.0271,699.41261145825,pil,25.626911
192.0271,407.314679682518,pil,25.392683
192.0271,407.314679682518,pil,25.736052
192.0271,407.314679682518,pil,25.699509
192.0271,95.0095085202592,eng,25.438646
192.0271,95.0095085202592,eng,26.038647
192.0271,95.0095085202592,eng,25.989416
192.0271,166.571757496567,sak,25.711226
192.0271,166.571757496567,sak,25.94794
192.0271,166.571757496567,sak,25.94219
192.0271,58.892009639992,cal,25.519339
192.0271,58.892009639992,cal,25.70403
192.0271,58.892009639992,cal,25.746122
192.0271,166.571757496567,bel,25.384491
192.0271,166.571757496567,bel,25.675543
192.0271,166.571757496567,bel,25.650995
192.0271,71.0124462123421,bel,25.59926
192.0271,71.0124462123421,bel,25.65649
192.0271,71.0124462123421,bel,25.72916
192.0271,95.0095085202592,sak,25.580713
192.0271,95.0095085202592,sak,25.750586
192.0271,95.0095085202592,sak,25.739521
192.0271,71.0124462123421,pil,25.749413
192.0271,71.0124462123421,pil,25.846899
192.0271,71.0124462123421,pil,25.83608
192.0271,27.6651914018517,po2,25.674372
192.0271,27.6651914018517,po2,25.828566
192.0271,27.6651914018517,po2,25.80731
192.0271,36.0018715100419,cal,25.463572
192.0271,36.0018715100419,cal,25.70919
192.0271,36.0018715100419,cal,25.702301
192.0271,143.012753673244,bel,25.366741
192.0271,143.012753673244,bel,25.698435
192.0271,143.012753673244,bel,25.661947
192.0271,191.340703825272,sak,25.241018
192.0271,191.340703825272,sak,25.661564
192.0271,191.340703825272,sak,25.55713
192.0271,166.571757496567,cal,25.518747
192.0271,166.571757496567,cal,25.743965
192.0271,166.571757496567,cal,25.730995
192.0271,362.038671967512,pil,25.456688
192.0271,362.038671967512,pil,25.787994
192.0271,362.038671967512,pil,25.789597
192.0271,71.0124462123421,eng,25.695835
192.0271,71.0124462123421,eng,25.884912
192.0271,71.0124462123421,eng,25.810717
192.0271,95.0095085202592,pil,25.882158
192.0271,95.0095085202592,pil,26.067228
192.0271,95.0095085202592,pil,26.06463
192.0271,362.038671967512,bel,25.554344
