Compound,hrs,yeast,rel_abundance
phenylalanine,27,pil,97.6909
phenylalanine,27,sak,92.1383
phenylalanine,27,bel,86.7298
phenylalanine,27,cal,113.6188
phenylalanine,27,eng,148.5163
phenylalanine,27,pil,95.6752
phenylalanine,27,sak,85.3492
phenylalanine,35,bel,81.2757
phenylalanine,35,cal,49.7338
phenylalanine,35,eng,0
phenylalanine,35,pil,83.8901
phenylalanine,35,sak,123.0028
phenylalanine,35,bel,76.8665
phenylalanine,35,cal,45.7868
phenylalanine,35,eng,73.439
phenylalanine,35,pil,89.3006
phenylalanine,35,sak,116.7328
phenylalanine,35,bel,75.9973
phenylalanine,35,cal,39.915
phenylalanine,35,eng,72.6635
phenylalanine,35,pil,88.1
phenylalanine,35,sak,115.1813
phenylalanine,46,bel,181.0389
phenylalanine,46,cal,198.303
phenylalanine,46,eng,95.9233
phenylalanine,46,pil,68.8876
phenylalanine,46,sak,68.9816
phenylalanine,46,bel,151.1098
phenylalanine,46,cal,153.3239
phenylalanine,46,eng,93.2843
phenylalanine,46,pil,67.5068
phenylalanine,46,sak,70.9989
phenylalanine,46,bel,145.7988
phenylalanine,46,cal,129.2987
phenylalanine,46,eng,94.3074
phenylalanine,46,pil,67.9853
phenylalanine,46,sak,69.4478
phenylalanine,58,bel,50.6901
phenylalanine,58,cal,62.1245
phenylalanine,58,eng,76.6914
phenylalanine,58,pil,118.8823
phenylalanine,58,sak,55.5265
phenylalanine,58,bel,50.3136
phenylalanine,58,cal,56.1156
phenylalanine,58,eng,75.2448
phenylalanine,58,pil,107.4589
phenylalanine,58,sak,54.4057
phenylalanine,58,bel,48.2765
phenylalanine,58,cal,58.7026
phenylalanine,58,eng,70.4709
phenylalanine,58,pil,102.2174
phenylalanine,58,sak,52.5818
phenylalanine,70,bel,70.5812
phenylalanine,70,cal,0
phenylalanine,70,eng,140.5281
phenylalanine,70,pil,64.6394
phenylalanine,70,sak,306.6051
phenylalanine,70,bel,68.406
phenylalanine,70,cal,0
phenylalanine,70,eng,132.0232
phenylalanine,70,pil,60.1224
phenylalanine,70,sak,232.3934
phenylalanine,70,bel,63.0665
phenylalanine,70,cal,0
phenylalanine,70,eng,134.8182
phenylalanine,70,pil,60.8535
phenylalanine,70,sak,149.6424
phenylalanine,94,bel,47.9224
phenylalanine,94,cal,29.4327
phenylalanine,94,eng,83.7948
phenylalanine,94,pil,132.024
phenylalanine,94,sak,35.33
phenylalanine,94,bel,50.0542
phenylalanine,94,cal,29.2318
phenylalanine,94,eng,78.785
phenylalanine,94,pil,130.9878
phenylalanine,94,sak,39.5556
phenylalanine,94,bel,43.8675
phenylalanine,94,cal,27.6186
phenylalanine,94,eng,79.2181
phenylalanine,94,pil,125.7164
phenylalanine,94,sak,39.4475
phenylalanine,118,bel,43.5273
phenylalanine,118,cal,26.756
phenylalanine,118,eng,80.5081
phenylalanine,118,pil,108.542
phenylalanine,118,sak,62.2822
phenylalanine,118,bel,47.5083
phenylalanine,118,cal,23.5823
phenylalanine,118,eng,68.7179
phenylalanine,118,pil,98.7399
phenylalanine,118,sak,52.57
phenylalanine,118,bel,47.4443
phenylalanine,118,cal,26.8732
phenylalanine,118,eng,60.1638
phenylalanine,118,pil,99.5929
phenylalanine,118,sak,50.9625
phenylalanine,142,bel,36.875
phenylalanine,142,cal,27.4994
phenylalanine,142,eng,94.8192
phenylalanine,142,pil,69.3002
phenylalanine,142,sak,60.7776
phenylalanine,142,bel,34.3449
phenylalanine,142,cal,27.149
phenylalanine,142,eng,85.2138
phenylalanine,142,pil,68.6411
phenylalanine,142,sak,57.3189
phenylalanine,142,bel,34.3516
phenylalanine,142,cal,27.2379
phenylalanine,142,eng,83.5678
phenylalanine,142,pil,69.3808
phenylalanine,142,sak,53.3215
phenylalanine,166,bel,0
phenylalanine,166,cal,29.3241
phenylalanine,166,eng,38.0681
phenylalanine,166,pil,0
phenylalanine,166,sak,131.3915
phenylalanine,166,bel,0
phenylalanine,166,cal,33.3179
phenylalanine,166,eng,38.7723
phenylalanine,166,pil,0
phenylalanine,166,sak,113.5029
phenylalanine,166,bel,0
phenylalanine,166,cal,34.096
phenylalanine,166,eng,38.4764
phenylalanine,166,pil,0
phenylalanine,166,sak,114.8224
phenylalanine,190,bel,55.3338
phenylalanine,190,cal,62.0289
phenylalanine,190,eng,124.7351
phenylalanine,190,pil,148.5773
phenylalanine,190,sak,61.2538
phenylalanine,190,bel,47.6726
phenylalanine,190,cal,62.8137
phenylalanine,190,eng,115.1124
phenylalanine,190,pil,0
phenylalanine,190,sak,58.6835
phenylalanine,190,bel,47.1465
phenylalanine,190,cal,61.1135
phenylalanine,190,eng,112.3334
phenylalanine,190,pil,133.2424
phenylalanine,190,sak,55.9058
phenylalanine,238,bel,33.4178
phenylalanine,238,cal,103.9084
phenylalanine,238,eng,106.9517
phenylalanine,238,pil,75.0464
phenylalanine,238,sak,25.0692
phenylalanine,238,bel,30.6648
phenylalanine,238,cal,85.3008
phenylalanine,238,eng,94.6977
phenylalanine,238,pil,70.4203
phenylalanine,238,sak,24.5694
phenylalanine,238,bel,30.6345
phenylalanine,238,cal,0
phenylalanine,238,eng,88.069
phenylalanine,238,pil,63.9765
phenylalanine,238,sak,24.2883
phenylalanine,262,bel,53.2882
phenylalanine,262,cal,0
phenylalanine,262,eng,72.419
phenylalanine,262,pil,49.3193
phenylalanine,262,sak,57.1467
phenylalanine,262,bel,49.3653
phenylalanine,262,cal,0
phenylalanine,262,eng,70.3622
phenylalanine,262,pil,49.5927
phenylalanine,262,sak,51.6648
phenylalanine,262,bel,46.1178
phenylalanine,262,cal,0
phenylalanine,262,eng,71.2742
phenylalanine,262,pil,48.1312
phenylalanine,262,sak,49.8019
phenylalanine,362,bel,35.8109
phenylalanine,362,cal,66.43
phenylalanine,362,eng,62.5052
phenylalanine,362,pil,73.7534
phenylalanine,362,sak,45.028
phenylalanine,362,bel,33.6966
phenylalanine,362,cal,59.9007
phenylalanine,362,eng,60.8731
phenylalanine,362,pil,69.8336
phenylalanine,362,sak,44.8866
phenylalanine,362,bel,31.2106
phenylalanine,362,cal,51.9512
phenylalanine,362,eng,58.7893
phenylalanine,362,pil,67.0211
phenylalanine,362,sak,43.1604
phenylalanine,407,bel,23.3108
phenylalanine,407,cal,37.6882
phenylalanine,407,eng,266.6453
phenylalanine,407,pil,74.2449
phenylalanine,407,sak,0
phenylalanine,407,bel,23.4113
phenylalanine,407,cal,39.0587
phenylalanine,407,eng,216.6201
phenylalanine,407,pil,73.2581
phenylalanine,407,sak,0
phenylalanine,407,bel,23.2959
phenylalanine,407,cal,37.8364
phenylalanine,407,eng,188.0028
phenylalanine,407,pil,72.7782
phenylalanine,407,sak,0
phenylalanine,698,bel,55.4098
phenylalanine,698,cal,0
phenylalanine,698,eng,49.5956
phenylalanine,698,pil,0
phenylalanine,698,sak,91.7198
phenylalanine,698,bel,52.8188
phenylalanine,698,cal,0
phenylalanine,698,eng,52.6117
phenylalanine,698,pil,57.3517
phenylalanine,698,sak,81.8185
phenylalanine,698,bel,48.6714
phenylalanine,698,cal,0
phenylalanine,698,eng,49.3812
phenylalanine,698,pil,56.0957
phenylalanine,698,sak,69.9668
leucine,0,bel,85.6278
leucine,0,cal,85.6278
leucine,0,eng,85.6278
leucine,0,pil,85.6278
leucine,0,sak,85.6278
leucine,0,bel,77.9946
leucine,0,cal,77.9946
leucine,0,eng,77.9946
leucine,0,pil,77.9946
leucine,0,sak,77.9946
leucine,0,bel,68.8685
leucine,0,cal,68.8685
leucine,0,eng,68.8685
leucine,0,pil,68.8685
leucine,0,sak,68.8685
leucine,0.5,bel,56.3343
leucine,0.5,cal,56.3343
leucine,0.5,eng,56.3343
leucine,0.5,pil,56.3343
leucine,0.5,sak,56.3343
leucine,0.5,bel,57.3329
leucine,0.5,cal,57.3329
leucine,0.5,eng,57.3329
leucine,0.5,pil,57.3329
leucine,0.5,sak,57.3329
leucine,0.5,bel,56.6986
