Compound,log2_hrs,bel,cal,eng,pil,sak,,,,,,,,,,,,,,,,,,,,,
phenylalanine,118,43.5273,26.756,80.5081,108.542,62.2822,,,,,,,,,,,,,,,,,,,,,
phenylalanine,118,47.5083,23.5823,68.7179,98.7399,52.57,,,,,,,,,,,,,,,,,,,,,
phenylalanine,118,47.4443,26.8732,60.1638,99.5929,50.9625,,,,,,,,,,,,,,,,,,,,,
phenylalanine,142,36.875,27.4994,94.8192,69.3002,60.7776,,,,,,,,,,,,,,,,,,,,,
phenylalanine,142,34.3449,27.149,85.2138,68.6411,57.3189,,,,,,,,,,,,,,,,,,,,,
phenylalanine,142,34.3516,27.2379,83.5678,69.3808,53.3215,,,,,,,,,,,,,,,,,,,,,
phenylalanine,166,,29.3241,38.0681,,131.3915,,,,,,,,,,,,,,,,,,,,,
phenylalanine,166,,33.3179,38.7723,,113.5029,,,,,,,,,,,,,,,,,,,,,
phenylalanine,166,,34.096,38.4764,,114.8224,,,,,,,,,,,,,,,,,,,,,
phenylalanine,190,55.3338,62.0289,124.7351,148.5773,61.2538,,,,,,,,,,,,,,,,,,,,,
phenylalanine,190,47.6726,62.8137,115.1124,,58.6835,,,,,,,,,,,,,,,,,,,,,
phenylalanine,190,47.1465,61.1135,112.3334,133.2424,55.9058,,,,,,,,,,,,,,,,,,,,,
phenylalanine,238,33.4178,103.9084,106.9517,75.0464,25.0692,,,,,,,,,,,,,,,,,,,,,
phenylalanine,238,30.6648,85.3008,94.6977,70.4203,24.5694,,,,,,,,,,,,,,,,,,,,,
phenylalanine,238,30.6345,,88.069,63.9765,24.2883,,,,,,,,,,,,,,,,,,,,,
phenylalanine,262,53.2882,,72.419,49.3193,57.1467,,,,,,,,,,,,,,,,,,,,,
phenylalanine,262,49.3653,,70.3622,49.5927,51.6648,,,,,,,,,,,,,,,,,,,,,
phenylalanine,262,46.1178,,71.2742,48.1312,49.8019,,,,,,,,,,,,,,,,,,,,,
phenylalanine,362,35.8109,66.43,62.5052,73.7534,45.028,,,,,,,,,,,,,,,,,,,,,
phenylalanine,362,33.6966,59.9007,60.8731,69.8336,44.8866,,,,,,,,,,,,,,,,,,,,,
phenylalanine,362,31.2106,51.9512,58.7893,67.0211,43.1604,,,,,,,,,,,,,,,,,,,,,
phenylalanine,407,23.3108,37.6882,266.6453,74.2449,,,,,,,,,,,,,,,,,,,,,,
phenylalanine,407,23.4113,39.0587,216.6201,73.2581,,,,,,,,,,,,,,,,,,,,,,
phenylalanine,407,23.2959,37.8364,188.0028,72.7782,,,,,,,,,,,,,,,,,,,,,,
phenylalanine,698,55.4098,,49.5956,,91.7198,,,,,,,,,,,,,,,,,,,,,
phenylalanine,698,52.8188,,52.6117,57.3517,81.8185,,,,,,,,,,,,,,,,,,,,,
phenylalanine,698,48.6714,,49.3812,56.0957,69.9668,,,,,,,,,,,,,,,,,,,,,
leucine,0,85.6278,85.6278,85.6278,85.6278,85.6278,,,,,,,,,,,,,,,,,,,,,
leucine,0,77.9946,77.9946,77.9946,77.9946,77.9946,,,,,,,,,,,,,,,,,,,,,
leucine,0,68.8685,68.8685,68.8685,68.8685,68.8685,,,,,,,,,,,,,,,,,,,,,
leucine,0.5,56.3343,56.3343,56.3343,56.3343,56.3343,,,,,,,,,,,,,,,,,,,,,
leucine,0.5,57.3329,57.3329,57.3329,57.3329,57.3329,,,,,,,,,,,,,,,,,,,,,
leucine,0.5,56.6986,56.6986,56.6986,56.6986,56.6986,,,,,,,,,,,,,,,,,,,,,
leucine,0.75,203.9005,203.9005,203.9005,203.9005,203.9005,,,,,,,,,,,,,,,,,,,,,
leucine,0.75,168.8766,168.8766,168.8766,168.8766,168.8766,,,,,,,,,,,,,,,,,,,,,
leucine,0.75,164.975,164.975,164.975,164.975,164.975,,,,,,,,,,,,,,,,,,,,,
leucine,1,72.6783,72.6783,72.6783,72.6783,72.6783,,,,,,,,,,,,,,,,,,,,,
